code,name
90100000, 2 KG DAHI (1 X 12 KG) 
90100285, GOW. GOLD DAHI 1 KG X 12 KG   
90100276, GOW. GOLD CUP CURD 400 GM X9.6KG 
90100256, GOW RICH & THICK DAHI 400X9.6 FREE RAPID 
90400152, UHT GO RAPID ORANGE 125ML - 5L 
90100278, GOW. GOLD DAHI 200 GM X4.8KG 
90100295, GOWARDHAN FRESH DAHI BUCKET 5 KG 
90100273, GOW. FRESH DAHI 70 GM X 1.68 KG 
90100286, GOW. FRESH CUP CURD 150 GM X3.6KG 
90100275, GOW. FRESH CUP CURD 200 GM X4.8KG 
90100212, Star Cup Dahi 400gm(1*9.6) 
90100018, Go Dahi Low Fat 150 Gm  X 3.60 Kg 
90100019, Go Dahi Low Fat 400 Gms X 9.60 Kg - Plain 
90100279, GOW. GOLD POUCH DAHI 1  
90100008, GOW. Fresh POUCH DAHI 400 GM X 10 KG 
90100280, GOW. GOLD POUCH DAHI 500 GM X 10 KG 
90100282, GOW. GOLD POUCH DAHI 200 GM X 10 KG  
90100161, GOWARDHAN STAR DAHI 5 KG POUCH 
90100150, GOWARDHAN STAR DAHI - 01 KG [POUCH] 
90100239, GOWARDHAN STAR DAHI - 500 GM [POUCH] 
90100241, GOWARDHAN STAR DAHI 135 GM [POUCH] 
90100151, GOWARDHAN STAR DAHI - 200  [POUCH] 
90100283, 10 KG Bucket  
90700010, GOW.BUTTER MILK (CHASS)POUCH 500 MLX12L 
90700132, GOW. BUTTERMILK 400 ML X 12LIT 
90600353, AVVATAR WAFER BAR CHOCOLATE 40GM X 8PK 
90600393, AVVATAR WAFER BAR COFFEE 40GM X 8PKT 
90600366, AVVATAR WAFER BAR COFFEE 40GM X 8PKT 
90600389, AVVATAR WAFER BAR CHEESE 40GM X 8PKT 
90100257,GO YOGURT STRAWBERRY 80 GM X 12 CUPS
90100259,GO YOGURT BLUEBERRY 80GM X 12CUP
90100258,GO YOGURT MANGO 80 GM X 12 CUPS
90800006, PANEER 100 GM (1 X 2.8 KG) 
90800102,GOW. PANEER BLOCK 200GMX4.8KG SLICE FREE
90500497, GO CHEESE SLICE 100GM FREE WITH PANEER 
90800004, PANEER BLOCK 500 GM X 8KG  
90800001, GOW. PANEER BLOCK 200 GM X 4.8 KG 
90800041,GOWARDHAN FRESH PANEER 1 KG X 6 KG
